Graph,Vertices,Edges,Longest_Path,Average_Wavefront_Size,Short_Edges,Median_Edge_Length,Average_Edge_Length,Average_Bottom_Level
instance_hpcg,72685,193610,8427,8.62525,130163,1,820.76,3935.25
instance_CG_N60_K55_nzP0d12,54324,127658,660,82.3091,81071,1,62.5316,300.096
instance_bicgstab_gyro_m,50195,80373,10100,4.9698,39989,2,1428.2,3622.97
instance_kNN_N100_K50_nzP0d1,56521,151731,101,559.614,101166,1,18.0322,49.7968
instance_exp_N100_K40_nzP0d2,83394,232080,81,1029.56,156654,1,14,41.9276
instance_spmv_N300_nzP0d3,54300,80550,3,18100,80550,1,1,2.49448
instance_CG_N120_K35_nzP0d11,96685,241842,420,230.202,157263,1,49.2945,201.583
instance_kNN_N250_K15_nzP0d1,94667,253986,31,3053.77,169348,1,6.31803,14.9394
instance_conjugate_gradient_gyro_m,47023,70893,19898,2.3632,31103,5,2793.65,7920.67
instance_exp_N75_K60_nzP0d15,54229,146520,121,448.174,98494,1,20.6667,61.9006
instance_exp_N15_K4_nzP0d2,283,507,9,31.4444,378,1,2.04142,5.43463
instance_kNN_N25_K5_nzP0d2,594,1101,11,54,740,1,2.97094,4.62121
instance_CG_N6_K5_nzP0d5,447,882,60,7.45,569,1,5.70862,30.4004
instance_kNN_N20_K5_nzP0d2,423,771,11,38.4545,519,1,2.92477,4.76596
instance_spmv_N40_nzP0d15,544,696,3,181.333,696,1,1,2.42647
instance_exp_N20_K4_nzP0d2,455,858,9,50.5556,645,1,1.99301,5.66374
instance_spmv_N35_nzP0d18,464,591,3,154.667,591,1,1,2.42457
instance_CG_N9_K5_nzP0d2,570,1080,60,9.5,673,1,5.32222,28.5754
instance_exp_N15_K9_nzP0d15,400,753,19,21.0526,534,1,3.64542,10.7075
instance_exp_N18_K10_nzP0d15,566,1098,21,26.9524,768,1,4.15301,11.106
instance_simple_pagerank_gyro_m,265,495,91,2.91209,313,1,12.4465,36.2755
instance_kNN_N13_K9_nzP0d15,497,1023,19,26.1579,690,1,4.00489,9.60966
instance_kNN_N15_K4_nzP0d25,284,495,9,31.5556,336,1,2.44646,4.16549
instance_CG_N7_K7_nzP0d2,597,1140,84,7.10714,698,1,6.42807,38.8476
instance_CG_N5_K4_nzP0d4,282,529,48,5.875,334,1,5.0397,24.2979
instance_exp_N10_K8_nzP0d2,282,531,17,16.5882,377,1,3.32015,9.70567
instance_CG_N8_K3_nzP0d5,426,830,36,11.8333,560,1,4.23494,20.2136
instance_snni_graphchallenge_1024neurons_120layers,322,359,120,2.68333,166,3,26.5265,61.8416
instance_pregel_cc_gyro_m,555,1608,102,5.44118,1156,1,6.91791,36.7622
instance_kNN_N20_K7_nzP0d15,531,1047,15,35.4,702,1,3.64947,6.6629
instance_exp_N25_K4_nzP0d15,551,1023,9,61.2222,766,1,2.01466,5.55717
instance_spmv_N25_nzP0d2,273,336,3,91,336,1,1,2.40659
instance_kNN_N10_K8_nzP0d2,264,516,17,15.5294,347,1,3.83721,8.09091
instance_CG_N7_K2_nzP0d6,274,507,24,11.4167,353,1,3.25444,14.3723
instance_kNN_N75_K9_nzP0d15,7550,18231,19,397.368,12163,1,4.34386,8.76676
instance_CG_N40_K10_nzP0d2,7335,16632,120,61.125,10873,1,12.4677,60.3241
instance_kNN_N55_K14_nzP0d15,6941,17244,29,239.345,11507,1,5.97031,13.9108
instance_kNN_N90_K8_nzP0d15,9108,21717,17,535.765,14486,1,4.06414,7.59365
instance_kNN_N70_K7_nzP0d16,5228,11991,15,348.533,8002,1,3.68285,6.70295
instance_exp_N80_K6_nzP0d15,7056,16704,13,542.769,12064,1,2.66667,7.78912
instance_spmv_N120_nzP0d18,5326,7629,3,1775.33,7629,1,1,2.47747
instance_kNN_N60_K15_nzP0d15,8998,22722,31,290.258,15162,1,6.26644,15.0382
instance_exp_N55_K14_nzP0d15,7230,17934,29,249.31,12383,1,5.33333,15.8268
instance_spmv_N130_nzP0d22,7482,10833,3,2494,10833,1,1,2.48263
instance_exp_N90_K7_nzP0d14,9632,23394,15,642.133,16710,1,3,8.80959
instance_exp_N70_K5_nzP0d18,5550,12825,11,504.545,9405,1,2.33333,6.77027
instance_CG_N25_K17_nzP0d15,5658,12072,204,27.7353,7576,1,15.1425,92.8869
instance_CG_N24_K22_nzP0d2,7383,16145,264,27.9659,10164,1,20.7496,120.129
instance_spmv_N150_nzP0d2,9088,13182,3,3029.33,13182,1,1,2.48349
instance_CG_N30_K24_nzP0d15,9941,21754,288,34.5174,13649,1,22.5741,130.267
instance_exp_N50_K12_nzP0d15,5434,13248,25,217.36,9200,1,4.66667,13.8127
instance_CG_N45_K13_nzP0d15,9786,22088,156,62.7308,14256,1,15.121,75.6145
instance_exp_N60_K17_nzP0d13,9125,22821,35,260.714,15669,1,6.32772,18.8636
instance_CG_N35_K8_nzP0d25,5396,12153,96,56.2083,8021,1,10.3186,49.6783
instance_kNN_N45_K15_nzP0d16,5392,13275,31,173.935,8856,1,6.40128,14.6167
instance_spmv_N70_nzP0d19,1920,2670,3,640,2670,1,1,2.46354
instance_kNN_N40_K5_nzP0d15,1073,2007,11,97.5455,1342,1,3.08371,4.31873
instance_kNN_N30_K12_nzP0d15,1951,4437,25,78.04,2962,1,5.42055,11.4854
instance_CG_N17_K8_nzP0d25,1976,4134,96,20.5833,2636,1,8.62288,46.7055
instance_CG_N15_K7_nzP0d25,1512,3116,84,18,1998,1,7.44673,41.1839
instance_exp_N40_K5_nzP0d15,1632,3480,11,148.364,2552,1,2.33333,6.71078
instance_spmv_N60_nzP0d15,1170,1575,3,390,1575,1,1,2.44872
instance_kNN_N30_K8_nzP0d15,1219,2601,17,71.7059,1738,1,4.07036,7.47826
instance_CG_N12_K10_nzP0d2,1527,3089,120,12.725,1932,1,8.59663,55.4165
instance_CG_N12_K6_nzP0d3,1067,2179,72,14.8194,1406,1,6.68242,36.0712
instance_exp_N30_K10_nzP0d18,1950,4443,21,92.8571,3110,1,4.00203,11.7451
instance_exp_N30_K6_nzP0d15,1085,2268,13,83.4615,1638,1,2.66667,7.69677
